site_name,Short_site_name
129-145 Harrington Street Sydney,129-145 Harrington Street
"173-179 Broadway, Ultimo",Broadway Picture Theatre
"1855 Parramatta Railway Terminus, Mort Street, Granville",1855 Parramatta Railway Terminus
"2-12 Macquarie St, Parramatta",2-12 Macquarie St
"265 Fifteenth Avenue, West Hoxton",265 Fifteenth Avenue
"37-39 Cowper St, Harris Park",37-39 Cowper St
"4 George Street, Parramatta",4 George Street
"67 Junction Road, Baulkham Hills",67 Junction Road
"72 Phillip Street, Parramatta",72 Phillip Street
"Admiralty House, Kirribilli",Admiralty House
Annesley House,Annesley House
"Bald Face Point Reserve, Blakehurst",Bald Face Point Reserve
Barangaroo Headland Park,Barangaroo Headland Park
"basketball court, Hyland Farm Road, Greystanes",Hyland Farm Road Group
between Southern Cross Drive and General Holmes Drive,between Southern Cross Drive and General Holmes Drive
"Blackfriars School, UTS Sydney",Blackfriars School
Bonnyrigg Male Orphan School,Bonnyrigg Male Orphan School
"Botany Water Works, Sydney",Botany Water Works
"Bradfield Park, Milson's Point",Bradfield Park
"Bullecourt Place, Ultimo",Bullecourt Place
Burwood copper smelter,Burwood copper smelter
"Butcher Brothers' Brickworks Alto Place, Artarmon",Butcher Brothers' Brickworks Alto Place
"Callan Point and Yurulbin point, Leichhardt",Callan Point and Yurulbin point
"Cameron's Cove, Balmain",Cameron's Cove
"Campbelltown Medical and Dental Clinic, Queen Street, Campbelltown",Campbelltown Medical and Dental Clinic
Camperdown Memorial Rest Park,Camperdown Memorial Rest Park
Carrington watchhouse,Carrington watchhouse
Castle Hill Heritage Park,Castle Hill Heritage Park
"Cliftonville Road, Upper Half Moon Reach Hawkesbury River, Lower Portland",Cliftonville Road
"coastal cliff walk, South Head",coastal cliff walk
"Commonwealth Analytical Laboratories, Suakin Street Pymble",Commonwealth Analytical Laboratories
"Como House, Victoria",Como House
"Conservatorium of Music, Sydney",Conservatorium of Music
Cowpasture Road (North Liverpool road to the West Link M7 Motorway),Cowpasture Road (North Liverpool road to the West Link M7 Motorway)
"Cumberland Hospital, Parramatta",Cumberland Hospital
"Customs House, Sydney",Customs House
"Darlington Campus, University of Sydney",Darlington Campus
"disused railway tunnel, Otford to Stanwell Park",disused railway tunnel
"DMR site, Sydney",DMR site
"Driver and John Hargreaves Avenues, Moore Park",Driver and John Hargreaves Avenues
"Eastern Suburbs Memorial Park, Matraville",Eastern Suburbs Memorial Park
"Ebenezer Mission, Victoria",Ebenezer Mission
"Emmaus Village, Kemps Creek",Emmaus Village
"Family Court of Australia, corner of Castlereagh and Goulburn Streets, Sydney",Family Court of Australia
"Fitzroy Bridge, Windsor",Fitzroy Bridge
"former Australian Gas Light Company site, Haymarket",former Australian Gas Light Company site
"Garfield Barwick Commonwealth Law Courts Building, Parramatta",Garfield Barwick Commonwealth Law Courts Building
"Gateway Plaza, Circular Quay",Gateway Plaza
"Government House, Sydney",Government House
Granville Boys High School,Granville Boys High School
Granville Pool,Granville Pool
"Green Road Reserve, Kellyville",Green Road Reserve
Helensburgh Public School,Helensburgh Public School
"Hungry Beach fortifications, Ku-ring-gai Chase National Park",Hungry Beach fortifications
Hunters Hill Bowling Club,Hunters Hill Bowling Club
"Jacksons Landing, Pyrmont",Jacksons Landing
"James Ruse Reserve, Parramatta",James Ruse Reserve
"KENS Site, Sydney",KENS Site
"Kent Hotel, Millers Point",Kent Hotel
"King George V Recreation Centre, The Rocks",King George V Recreation Centre
Kirrawee Living Centres Project,Kirrawee Living Centres Project
Lady Bay,Lady Bay
"Lake Condah Aboriginal mission, Victoria",Lake Condah Aboriginal mission
"Lancer Barracks, Parramatta",Lancer Barracks
Liverpool Hospital,Liverpool Hospital
"Lot 14 Hall St, Pitt Town",Lot 14 Hall St
"Lower Prospect Canal, Prospect Reservoir",Lower Prospect Canal
"Luna Park, Milsons Point",Luna Park
"Macquarie Place, Sydney",Macquarie Place
"Male Orphan School, Liverpool",Male Orphan School
"McCauley?s Beach, Thirroul",McCauley?s Beach
"Mean Fiddler, Rouse Hill",Mean Fiddler
"Meeting Place Precinct, Botany Bay National Park, Kurnell",Meeting Place Precinct
"Minnaville, Castlereagh",Minnaville
Moore Park Showground,Moore Park Showground
"Morts Dock, Balmain",Morts Dock
"Mount Adelaide Estate, Double Bay",Mount Adelaide Estate
"Mount Jerrabombera, Queanbeyan",Mount Jerrabombera
"Murray Gardens, Parramatta Park",Murray Gardens
"National Trust Centre, Observatory Hill, Sydney",National Trust Centre
"Native Institution, Blacktown",Native Institution
"Newington College, Stanmore",Newington College
North Sydney Boys High School,North Sydney Boys High School
"Oatlands Court House, Tasmania",Oatlands Court House
"Old Government House, Parramatta",Old Government House
Paddy's Market Site,Paddy's Market Site
"Paragon Iron Foundry Bulwara Road, Pyrmont",Paragon Iron Foundry Bulwara Road
"Park Road, Wallacia",Park Road
Parramatta Children's Court,Parramatta Children's Court
Parramatta Justice Precinct,Parramatta Justice Precinct
Parramatta River,Parramatta River
"Penrith Lakes scheme area, Castlereagh",Penrith Lakes scheme area
"Penrith Lakes Scheme area, Cranebrook",Penrith Lakes Scheme area
"Police Station, Emu Plains",Police Station
"Prince of Wales Hospital, Randwick",Prince of Wales Hospital
Prospect Reservoir,Prospect Reservoir
"public domain ""under the freeway"" at Bulwarra Rd & Harris St., Ultimo","public domain ""under the freeway"" at Bulwarra Rd & Harris St."
"Pyrmont Point, Pyrmont",Pyrmont Point
Queen's Arms Inn & Rouse Hill Post Office,Queen's Arms Inn & Rouse Hill Post Office
"Queens Park, Brisbane",Queens Park
"Queens Wharf Reserve, Parramatta",Queens Wharf Reserve
"Rangihou Reserve, Parramatta",Rangihou Reserve
"Regentville, Mullgoa",Regentville
"Robertson Park, Clovelly",Robertson Park
"Rose Garden, Parramatta Park",Rose Garden
Rouse Hill,Rouse Hill
"Royal Exhibition Building, Carlton, Victoria",Royal Exhibition Building
"Royal Hospital for Women, Paddington",Royal Hospital for Women
"Royal Mint, Sydney",Royal Mint
"Royal North Shore Hospital, St Leonards",Royal North Shore Hospital
"Sacred Heart Church, Darlinghurst",Sacred Heart Church
Sandon Point residential subdivision,Sandon Point residential subdivision
"Scarborough House, The Rocks",Scarborough House
Scheyville development area,Scheyville development area
Secure Parking - Eat Street Car Park,Secure Parking - Eat Street Car Park
"South Western Institute of Tafe, Liverpool",South Western Institute of Tafe
"St Mary's Cathedral, Sydney",St Mary's Cathedral
St Marys Munitions Factory,St Marys Munitions Factory
"State Library of NSW, Sydney",State Library of NSW
"Sydney Hospital, Sydney",Sydney Hospital
"Systrum Street, Ultimo",Systrum Street
"Telephone Exchange, Parramatta",Telephone Exchange
"Tempe House, North Arncliffe",Tempe House
"The Big Dig site, The Rocks",The Big Dig site
third Sydney runway,third Sydney runway
"Treasury Building, Sydney",Treasury Building
Ultimo Aquatic Centre,Ultimo Aquatic Centre
"Victoria Barracks, Sydney",Victoria Barracks
"Victoria Lodge, Royal Botanic Gardens",Victoria Lodge
Voyager Point,Voyager Point
"Western Arm, Prospect",Western Arm
"Wharf 11, Woolloomooloo",Wharf 11
"White Bay, Sydney Harbour",White Bay
Windsor Bridge,Windsor Bridge
"Woodbine, Port Fairy, Victoria",Woodbine
Woollahra Public School,Woollahra Public School
"World Square, Sydney",World Square
"Henry Deane Place, Sydney",Henry Deane Place
"Lawson Site, Botanic Gardens, Sydney",Lawson Site
"120-140 Pyrmont Street, Pyrmont ",120-140 Pyrmont Street
"126-130 George Street, Parramatta",126-130 George Street
"2 Cardigan Lane, Camperdown",2 Cardigan Lane
"3 Barrack Lane, Parramatta",3 Barrack Lane
"32 Merriman Street and 55 Kent Street, Millers Point",32 Merriman Street and 55 Kent Street
"6 Cowper Wharf Rd, Woolloomooloo",6 Cowper Wharf Rd
"Agar Steps Terraces, Millers Point",Agar Steps Terraces
"Alan Davidson Park, Wyoming",Alan Davidson Park
"Albion Place, Sydney",Albion Place
"Alfred Street, Circular Quay",Alfred Street
"Angel Place, Sydney",Angel Place
"Area 25, 14 Pottinger Street, Dawes Point",Area 25
"Area 32, 20 Hickson Road, Millers Point",Area 32
"Argyle Bond Store, The Rocks",Argyle Bond Store
"Army Depot, Charles Street, Leichhardt",Army Depot
"Arndell's Windmill, Cattai National Park",Arndell's Windmill
"Arnott's Biscuit Factory, Homebush",Arnott's Biscuit Factory
"Athol Gardens Complex, Bradley's Head",Athol Gardens Complex
"Australian Arms Inn and Old Post Office, Emu Plains",Australian Arms Inn and Old Post Office
"Babes in the Wood, 20 Smith Street, Parramatta",Babes in the Wood
"Balcombe Heights Community Centre, Baulkham Hills",Balcombe Heights Community Centre
Balmain Hospital,Balmain Hospital
"Banks Road Site, Castle Hill",Banks Road Site
"Bigge Park, Liverpool",Bigge Park
"Bird and Lucas, Ironfounders, Glebe",Bird and Lucas
Botany Wetlands,Botany Wetlands
"Bourke Street, East Sydney",Bourke Street
"Caddie Estate, Cattai National Park",Caddie Estate
Caddie Park,Caddie Park
"Cambridge Street, The Rocks",Cambridge Street
Campbell's Cove,Campbell's Cove
"Campbell's Cove, The Rocks",Campbell's Cove
"Canonbury, Darling Point",Canonbury
"Carlow Street Drill Hall, Crows Nest",Carlow Street Drill Hall
Castlereagh,Castlereagh
"Cavenah Way, Kellyville",Cavenah Way
"Central Station, Sydney",Central Station
Chullora Railway Workshops,Chullora Railway Workshops
Circular Quay Railway Station,Circular Quay Railway Station
Cockatoo Island,Cockatoo Island
"Constitution Hill Grand United Centenary Centre, Toongabbie",Constitution Hill Grand United Centenary Centre
"Crescent Reach Reserve, South Maroota",Crescent Reach Reserve
"CSR Site, Jacksons Landing, Pyrmont",CSR Site
"Cumberland Street/ Gloucester Street Site, The Big Dig Site",Cumberland Street/ Gloucester Street Site
"Cumberland/ Gloucester Street Site, The Big Dig Site",Cumberland/ Gloucester Street Site
"Dairy Cottage, Parramatta Park",Dairy Cottage
"Darling Island, Pyrmont",Darling Island
"Darlinghurst Gaol, National Art School",Darlinghurst Gaol
Dawes Point Reserve,Dawes Point Reserve
"Destitute Children's Asylum, Prince of Wales Hospital, Randwick",Destitute Children's Asylum
"Devine's Hill, The Old Great North Road Wiseman's Ferry",Devine's Hill
Downing Centre Local Courts,Downing Centre Local Courts
"Downshire Street - Ferry Lane, Pottinger Park Playground",Downshire Street - Ferry Lane
"Edwin Davey Flour Mill, Ultimo",Edwin Davey Flour Mill
"Elouera Estate, Cherrybrook",Elouera Estate
Emu Plains Quarry,Emu Plains Quarry
"Essex Street, The Rocks",Essex Street
Eveleigh Railway Locomotive Shops,Eveleigh Railway Locomotive Shops
Excelsior Reserve,Excelsior Reserve
"Excelsior Reserve, Northmead",Excelsior Reserve
"F.L. Barker Wool Store, Pyrmont",F.L. Barker Wool Store
"Female Orphan School, Rydalmere",Female Orphan School
"Fig Tree Free Baths, Andrew 'Boy' Charlton Pool, Sydney",Fig Tree Free Baths
"Finch's Line, The Old Great North Road, Wiseman's Ferry",Finch's Line
"First Field Hospital Site, Holsworthy",First Field Hospital Site
"Fish Market, Pyrmont",Fish Market
"Former No. 110 Substation, Powell Street, Waterloo",Former No. 110 Substation
"Fort Dundas, Melville Island",Fort Dundas
"Free Baths for Ladies, Archaeology of Bathing, sydney",Free Baths for Ladies
"Garden Island, Sydney",Garden Island
"Garvan Institute of Medical Research, Darlinghurst",Garvan Institute of Medical Research
"General Bourke Hotel, Parramatta",General Bourke Hotel
"George Street North, The Rocks",George Street North
"Glenwood Park, Parklea",Glenwood Park
"Gloucester Street, The Rocks",Gloucester Street
"Goodlet and Smith Ltd. Brickworks, Granville",Goodlet and Smith Ltd. Brickworks
"Governor's Bath House, Farm Cove, Royal Botanic Gardens, Sydney",Governor's Bath House
"Grace Bros., Broadway Shopping Centre, Broadway, Ultimo",Grace Bros.
"Grace Brothers, Broadway Shopping Centre, Broadway, Ultimo",Grace Brothers
"H.M.A.S. Kuttabul, Potts Point",H.M.A.S. Kuttabul
"Hawkesbury Hospital, Windsor",Hawkesbury Hospital
"Hawkesbury Museum, 8 Baker Street, Windsor",Hawkesbury Museum
"Hickson Road, The Rocks",Hickson Road
"Hill Street, Surry Hills",Hill Street
"Holtermann Estate, Crows Nest",Holtermann Estate
Homebush Bay,Homebush Bay
"Hornby Lighthouse, South Head",Hornby Lighthouse
Hunters Hill High School,Hunters Hill High School
"Jericho Farm House Ruins, Riverstone",Jericho Farm House Ruins
"Jerusalem Park, Oxford Falls",Jerusalem Park
"John Bardsley & Sons, Leichhardt",John Bardsley & Sons
Katoomba Public School,Katoomba Public School
La Perouse and Bare Island Historic Sites,La Perouse and Bare Island Historic Sites
Lidcombe Hospital,Lidcombe Hospital
Little Manly Point Gasworks,Little Manly Point Gasworks
"Little Pier Street Precinct, 17 Little Pier St, Haymarket",Little Pier Street Precinct
"Lot 20 DP 856306, Wisemans Ferry, NSW",Lot 20 DP 856306
"Lower Fort St, Millers Point",Lower Fort St
Lucan Park Homestead Site,Lucan Park Homestead Site
"Luddenham, Mulgoa",Luddenham
"Luke Muras Building, Waterloo",Luke Muras Building
"MacDonaldtown Triangle, Macdonaldtown Station",MacDonaldtown Triangle
"MacPherson Street Tank, Waverley",MacPherson Street Tank
"Macquarie Farm, St Ives.",Macquarie Farm
Macquarie Lighthouse,Macquarie Lighthouse
"Malabar, Orange",Malabar
"Manning House, University of Sydney",Manning House
Margaret Farm St Marys,Margaret Farm St Marys
"Maria Island National Park, Tasmania",Maria Island National Park
"Middle Head, Sydney Harbour",Middle Head
"Moore's Wharf Bond Store, Walsh Bay",Moore's Wharf Bond Store
Mortlake Gasworks,Mortlake Gasworks
"Mrs Macquarie's Road, Royal Botanic Gardens",Mrs Macquarie's Road
Newington Armory,Newington Armory
"Observatory Hill, Sydney",Observatory Hill
"Old Northern Road, Maroota",Old Northern Road
"Old Sydney Burial Ground, Town Hall Arcade, Sydney",Old Sydney Burial Ground
"Old Sydney Gaol, 199 George Street, Sydney",Old Sydney Gaol
"Old Windsor Road, Rouse Hill",Old Windsor Road
Opera House Carpark,Opera House Carpark
"Original Supreme Court Site, 102 Elizabeth Street, Sydney",Original Supreme Court Site
Oyster Cove,Oyster Cove
"P.J. Gallaghers Hotel, Parramatta",P.J. Gallaghers Hotel
"Paragon Iron Foundry, Pyrmont",Paragon Iron Foundry
"Park Street Tunnel, 250 Pitt Street, Sydney",Park Street Tunnel
Parklea,Parklea
"Pedestrian Mall, Bondi Junction",Pedestrian Mall
Penrith Lakes Scheme,Penrith Lakes Scheme
"Phillip and Cook Park, Sydney",Phillip and Cook Park
"Phillip Lane, Sydney",Phillip Lane
"Phoenix Ironworks, Rhodes",Phoenix Ironworks
"Pioneer's Memorial Park, Liverpool",Pioneer's Memorial Park
Pitt St Uniting Church,Pitt St Uniting Church
Pitt Street Uniting Church,Pitt Street Uniting Church
Pitt Town Milk Factory,Pitt Town Milk Factory
"Point Street Park, Pyrmont",Point Street Park
Pottinger Park Playground,Pottinger Park Playground
Pyrmont 'A' Power Station,Pyrmont 'A' Power Station
Pyrmont Incinerators,Pyrmont Incinerators
"Quarantine Station, North Head",Quarantine Station
"Queen Street Precinct, Campbelltown",Queen Street Precinct
"Railway Bridge, Norton Street Leichhardt ",Railway Bridge
"RAN Stores, Rydalmere",RAN Stores
Randwick Bus Depot,Randwick Bus Depot
Randwick Naval Stores,Randwick Naval Stores
"Rivercentre site, Parramatta",Rivercentre site
Rouse Hill House,Rouse Hill House
Rozelle Bay,Rozelle Bay
"Saint Bartholomew's Church, Prospect",Saint Bartholomew's Church
"Saint Margaret's East, Surry Hills",Saint Margaret's East
"Sargents' Factory, East Sydney",Sargents' Factory
Scheyville Former Officer Training Camp,Scheyville Former Officer Training Camp
"Shepherds Gully, The Old Great North Road",Shepherds Gully
Silverwater Gaol,Silverwater Gaol
"Spring Hill, McGrath's Hill",Spring Hill
"St Patricks Cemetery, North Parramatta",St Patricks Cemetery
"Stanhope Park, Parklea",Stanhope Park
"State Abattoir, Homebush Bay",State Abattoir
"Station Street Drill Hall, Homebush",Station Street Drill Hall
Strides Boat Yard,Strides Boat Yard
Sydney City Mission Hostel,Sydney City Mission Hostel
"Sydney Smelting and Refining Company, Hunters Hill",Sydney Smelting and Refining Company
"Taylor's Square, Darlinghurs",Taylor's Square
"The Competition Site, Pyrmont",The Competition Site
"The Domain and Botanic Gardens, Sydney",The Domain and Botanic Gardens
"The Domain, Sydney",The Domain
"The Homestead, Chipping Norton",The Homestead
"Third Runway, Sydney",Third Runway
Toongabbie Government Farm,Toongabbie Government Farm
"Tramways Workshops, Sydney",Tramways Workshops
"Transgrid Site, Haymarket",Transgrid Site
"Tulloch's Phoenix Site, Concord",Tulloch's Phoenix Site
"Ultimo Power House, Powerhouse Museum, Ultimo",Ultimo Power House
"University Hall, Glebe",University Hall
University of Sydney,University of Sydney
"Walsh Bay, Sydney",Walsh Bay
"Warren Park, Marrickville",Warren Park
"Wentworth Park, Sydney",Wentworth Park
"Westfield, Parramatta",Westfield
"White's Creek, Leichhardt",White's Creek
"Wilton Grasslands Historic Site, Wilton",Wilton Grasslands Historic Site
Windsor Military Guardhouse,Windsor Military Guardhouse
