site_name,Short_site_name,VerifiedAddress,X,Y,LocConf,results
"Wharf 11, Woolloomooloo",Wharf 11,"6 Cowper Wharf Rd, Woolloomooloo NSW 2011, Australia",151.2207453,-33.8685211,Great - Google,"('6 Cowper Wharf Rd, Woolloomooloo NSW 2011, Australia', 151.2207453, -33.8685211, 'Great - Google')"
"White Bay, Sydney Harbour",White Bay,"White Bay, New South Wales, Australia",151.1851115,-33.8635949,APPROXIMATE,"('White Bay, New South Wales, Australia', 151.1851115, -33.8635949, 'APPROXIMATE')"
Windsor Bridge,Windsor Bridge,"Windsor Bridge, Bridge St, Freemans Reach NSW 2756, Australia",150.8222356,-33.6032647,GEOMETRIC_CENTER,"('Windsor Bridge, Bridge St, Freemans Reach NSW 2756, Australia', 150.8222356, -33.6032647, 'GEOMETRIC_CENTER')"
"Woodbine, Port Fairy, Victoria",Woodbine,"Woodbine Rd, Port Fairy VIC 3284, Australia",142.2824834,-38.3597425,GEOMETRIC_CENTER,"('Woodbine Rd, Port Fairy VIC 3284, Australia', 142.2824834, -38.3597425, 'GEOMETRIC_CENTER')"
Woollahra Public School,Woollahra Public School,"Forth St, Woollahra NSW 2025, Australia",151.2412598,-33.886567,GEOMETRIC_CENTER,"('Forth St, Woollahra NSW 2025, Australia', 151.2412598, -33.886567, 'GEOMETRIC_CENTER')"
"Henry Deane Place, Sydney",Henry Deane Place,"35 Bettington St, Millers Point NSW 2000, Australia",151.2021441,-33.8579577,Great - Google,"('35 Bettington St, Millers Point NSW 2000, Australia', 151.2021441, -33.8579577, 'Great - Google')"
"Lawson Site, Botanic Gardens, Sydney",Lawson Site,"Royal Botanic Gardens, Mrs Macquaries Rd, Sydney NSW 2000, Australia",151.2165708,-33.8641859,GEOMETRIC_CENTER,"('Royal Botanic Gardens, Mrs Macquaries Rd, Sydney NSW 2000, Australia', 151.2165708, -33.8641859, 'GEOMETRIC_CENTER')"
"126-130 George Street, Parramatta",126-130 George Street,"126-130 George St, Parramatta NSW 2150, Australia",151.008113,-33.8141605,Great - Google,"('126-130 George St, Parramatta NSW 2150, Australia', 151.008113, -33.8141605, 'Great - Google')"
"2 Cardigan Lane, Camperdown",2 Cardigan Lane,"2 Cardigan Ln, Camperdown NSW 2050, Australia",151.1734135,-33.8881377,Great - Google,"('2 Cardigan Ln, Camperdown NSW 2050, Australia', 151.1734135, -33.8881377, 'Great - Google')"
"3 Barrack Lane, Parramatta",3 Barrack Lane,"3 Barrack Ln, Parramatta NSW 2150, Australia",151.0070443,-33.8151847,Great - Google,"('3 Barrack Ln, Parramatta NSW 2150, Australia', 151.0070443, -33.8151847, 'Great - Google')"
"32 Merriman Street and 55 Kent Street, Millers Point",32 Merriman Street and 55 Kent Street,"32 Merriman St, Millers Point NSW 2000, Australia",151.2020141,-33.8574539,Great - Google,"('32 Merriman St, Millers Point NSW 2000, Australia', 151.2020141, -33.8574539, 'Great - Google')"
"6 Cowper Wharf Rd, Woolloomooloo",6 Cowper Wharf Rd,"6 Cowper Wharf Rd, Woolloomooloo NSW 2011, Australia",151.2210816,-33.8675479,Great - Google,"('6 Cowper Wharf Rd, Woolloomooloo NSW 2011, Australia', 151.2210816, -33.8675479, 'Great - Google')"
"Agar Steps Terraces, Millers Point",Agar Steps Terraces,"Agar Steps, Millers Point NSW 2000, Australia",151.2037745,-33.8609917,GEOMETRIC_CENTER,"('Agar Steps, Millers Point NSW 2000, Australia', 151.2037745, -33.8609917, 'GEOMETRIC_CENTER')"
"Alan Davidson Park, Wyoming",Alan Davidson Park,"Alan Davidson Oval, 30 Renwick St, Wyoming NSW 2250, Australia",151.3543366,-33.4026566,Great - Google,"('Alan Davidson Oval, 30 Renwick St, Wyoming NSW 2250, Australia', 151.3543366, -33.4026566, 'Great - Google')"
"Alfred Street, Circular Quay",Alfred Street,"Alfred St, Sydney NSW 2000, Australia",151.2104867,-33.861491,GEOMETRIC_CENTER,"('Alfred St, Sydney NSW 2000, Australia', 151.2104867, -33.861491, 'GEOMETRIC_CENTER')"
"Area 25, 14 Pottinger Street, Dawes Point",Area 25,"25/14 Pottinger St, Dawes Point NSW 2000, Australia",151.2062714,-33.8567578,Great - Google,"('25/14 Pottinger St, Dawes Point NSW 2000, Australia', 151.2062714, -33.8567578, 'Great - Google')"
"Argyle Bond Store, The Rocks",Argyle Bond Store,"18 Argyle St, The Rocks NSW 2000, Australia",151.2078233,-33.858989,Great - Google,"('18 Argyle St, The Rocks NSW 2000, Australia', 151.2078233, -33.858989, 'Great - Google')"
"Army Depot, Charles Street, Leichhardt",Army Depot,not found,unknown,unknown,unknown,"('not found', 'unknown', 'unknown', 'unknown')"
"Arnott's Biscuit Factory, Homebush",Arnott's Biscuit Factory,"24 George St, North Strathfield NSW 2137, Australia",151.088002,-33.863024,Great - Google,"('24 George St, North Strathfield NSW 2137, Australia', 151.088002, -33.863024, 'Great - Google')"
"Athol Gardens Complex, Bradley's Head",Athol Gardens Complex,"Sydney Harbour National Park, Bradleys Head Rd, Mosman NSW 2088, Australia",151.2452603,-33.8429452,GEOMETRIC_CENTER,"('Sydney Harbour National Park, Bradleys Head Rd, Mosman NSW 2088, Australia', 151.2452603, -33.8429452, 'GEOMETRIC_CENTER')"
"Australian Arms Inn and Old Post Office, Emu Plains",Australian Arms Inn and Old Post Office,"Great Western Hwy & Gardenia Ave, Emu Plains NSW 2750, Australia",150.6693916,-33.7497223,GEOMETRIC_CENTER,"('Great Western Hwy & Gardenia Ave, Emu Plains NSW 2750, Australia', 150.6693916, -33.7497223, 'GEOMETRIC_CENTER')"
"Babes in the Wood, 20 Smith Street, Parramatta",Babes in the Wood,"20 Smith St, Parramatta NSW 2150, Australia",151.0066578,-33.8145864,Great - Google,"('20 Smith St, Parramatta NSW 2150, Australia', 151.0066578, -33.8145864, 'Great - Google')"
"Balcombe Heights Community Centre, Baulkham Hills",Balcombe Heights Community Centre,"90-92/90-92 Seven Hills Rd, Baulkham Hills NSW 2153, Australia",150.9816943,-33.7663658,Great - Google,"('90-92/90-92 Seven Hills Rd, Baulkham Hills NSW 2153, Australia', 150.9816943, -33.7663658, 'Great - Google')"
"Banks Road Site, Castle Hill",Banks Road Site,"Banks Rd, Castle Hill NSW 2154, Australia",151.0103099,-33.7207483,GEOMETRIC_CENTER,"('Banks Rd, Castle Hill NSW 2154, Australia', 151.0103099, -33.7207483, 'GEOMETRIC_CENTER')"
"Bigge Park, Liverpool",Bigge Park,"Bigge Park, 124 Bigge St, Liverpool NSW 2170, Australia",150.9280462,-33.9216643,Great - Google,"('Bigge Park, 124 Bigge St, Liverpool NSW 2170, Australia', 150.9280462, -33.9216643, 'Great - Google')"
"Bird and Lucas, Ironfounders, Glebe",Bird and Lucas,"Glebe NSW 2037, Australia",151.18541,-33.87978,APPROXIMATE,"('Glebe NSW 2037, Australia', 151.18541, -33.87978, 'APPROXIMATE')"
Botany Wetlands,Botany Wetlands,"Sydney Park Wetlands, Sydney Park Rd, Erskineville NSW 2043, Australia",151.1846735,-33.9113394,GEOMETRIC_CENTER,"('Sydney Park Wetlands, Sydney Park Rd, Erskineville NSW 2043, Australia', 151.1846735, -33.9113394, 'GEOMETRIC_CENTER')"
"Bourke Street, East Sydney",Bourke Street,"Bourke St, Sydney NSW, Australia",151.2153371,-33.8871297,GEOMETRIC_CENTER,"('Bourke St, Sydney NSW, Australia', 151.2153371, -33.8871297, 'GEOMETRIC_CENTER')"
"Caddie Estate, Cattai National Park",Caddie Estate,"Cattai National Park, Cattai NSW 2756, Australia",150.9076477,-33.5539303,GEOMETRIC_CENTER,"('Cattai National Park, Cattai NSW 2756, Australia', 150.9076477, -33.5539303, 'GEOMETRIC_CENTER')"
Caddie Park,Caddie Park,"Caddie Ave, New Park NSW 2474, Australia",152.9937695,-28.6071703,GEOMETRIC_CENTER,"('Caddie Ave, New Park NSW 2474, Australia', 152.9937695, -28.6071703, 'GEOMETRIC_CENTER')"
Campbell's Cove,Campbell's Cove,"New South Wales 2000, Australia",151.2095869,-33.8564821,GEOMETRIC_CENTER,"('New South Wales 2000, Australia', 151.2095869, -33.8564821, 'GEOMETRIC_CENTER')"
"Campbell's Cove, The Rocks",Campbell's Cove,"Campbell's Cove Lookout, 4 Circular Quay W, The Rocks NSW 2000, Australia",151.2103825,-33.8569197,Great - Google,"(""Campbell's Cove Lookout, 4 Circular Quay W, The Rocks NSW 2000, Australia"", 151.2103825, -33.8569197, 'Great - Google')"
"Canonbury, Darling Point",Canonbury,"159 Darling Point Rd, Darling Point NSW 2027, Australia",151.2393694,-33.8674215,Great - Google,"('159 Darling Point Rd, Darling Point NSW 2027, Australia', 151.2393694, -33.8674215, 'Great - Google')"
"Carlow Street Drill Hall, Crows Nest",Carlow Street Drill Hall,"Carlow St, Crows Nest NSW 2065, Australia",151.2060634,-33.8305176,GEOMETRIC_CENTER,"('Carlow St, Crows Nest NSW 2065, Australia', 151.2060634, -33.8305176, 'GEOMETRIC_CENTER')"
"Central Station, Sydney",Central Station,"Central, Haymarket NSW 2000, Australia",151.2066712,-33.8823949,GEOMETRIC_CENTER,"('Central, Haymarket NSW 2000, Australia', 151.2066712, -33.8823949, 'GEOMETRIC_CENTER')"
Chullora Railway Workshops,Chullora Railway Workshops,"Gate 3 Worth St, Chullora NSW 2190, Australia",151.0584068,-33.8863062,GEOMETRIC_CENTER,"('Gate 3 Worth St, Chullora NSW 2190, Australia', 151.0584068, -33.8863062, 'GEOMETRIC_CENTER')"
Circular Quay Railway Station,Circular Quay Railway Station,"Circular Quay, Sydney NSW 2000, Australia",151.210709,-33.86116510000001,GEOMETRIC_CENTER,"('Circular Quay, Sydney NSW 2000, Australia', 151.210709, -33.86116510000001, 'GEOMETRIC_CENTER')"
"Constitution Hill Grand United Centenary Centre, Toongabbie",Constitution Hill Grand United Centenary Centre,"Centenary Ave, Northmead NSW 2152, Australia",150.9828643,-33.7888634,GEOMETRIC_CENTER,"('Centenary Ave, Northmead NSW 2152, Australia', 150.9828643, -33.7888634, 'GEOMETRIC_CENTER')"
"Crescent Reach Reserve, South Maroota",Crescent Reach Reserve,"South Maroota NSW 2756, Australia",150.9485,-33.5241,APPROXIMATE,"('South Maroota NSW 2756, Australia', 150.9485, -33.5241, 'APPROXIMATE')"
"CSR Site, Jacksons Landing, Pyrmont",CSR Site,"52B Bowman St, Pyrmont NSW 2009, Australia",151.1901253,-33.8671707,Great - Google,"('52B Bowman St, Pyrmont NSW 2009, Australia', 151.1901253, -33.8671707, 'Great - Google')"
"Dairy Cottage, Parramatta Park",Dairy Cottage,"Parramatta NSW 2150, Australia",150.9967529,-33.80668540000001,GEOMETRIC_CENTER,"('Parramatta NSW 2150, Australia', 150.9967529, -33.80668540000001, 'GEOMETRIC_CENTER')"
"Destitute Children's Asylum, Prince of Wales Hospital, Randwick",Destitute Children's Asylum,"320-346 Barker St, Randwick NSW 2031, Australia",151.2384481,-33.9187456,Great - Google,"('320-346 Barker St, Randwick NSW 2031, Australia', 151.2384481, -33.9187456, 'Great - Google')"
"Devine's Hill, The Old Great North Road Wiseman's Ferry",Devine's Hill,"LOT 139 Old Great Northern Rd, Wisemans Ferry NSW 2775, Australia",150.9849042,-33.3752084,Great - Google,"('LOT 139 Old Great Northern Rd, Wisemans Ferry NSW 2775, Australia', 150.9849042, -33.3752084, 'Great - Google')"
Downing Centre Local Courts,Downing Centre Local Courts,"4, 143-147 Liverpool St, Sydney NSW 2000, Australia",151.2090603,-33.8774411,Great - Google,"('4, 143-147 Liverpool St, Sydney NSW 2000, Australia', 151.2090603, -33.8774411, 'Great - Google')"
"Downshire Street - Ferry Lane, Pottinger Park Playground",Downshire Street - Ferry Lane,"New South Wales, Australia",146.921099,-31.2532183,APPROXIMATE,"('New South Wales, Australia', 146.921099, -31.2532183, 'APPROXIMATE')"
"Edwin Davey Flour Mill, Ultimo",Edwin Davey Flour Mill,"Ultimo NSW 2007, Australia",151.19696,-33.88223,APPROXIMATE,"('Ultimo NSW 2007, Australia', 151.19696, -33.88223, 'APPROXIMATE')"
"Elouera Estate, Cherrybrook",Elouera Estate,"3 Kitchener Rd, Cherrybrook NSW 2126, Australia",151.0559609,-33.7309802,Great - Google,"('3 Kitchener Rd, Cherrybrook NSW 2126, Australia', 151.0559609, -33.7309802, 'Great - Google')"
Emu Plains Quarry,Emu Plains Quarry,"Railway St, Emu Plains NSW 2750, Australia",150.671627,-33.741705,GEOMETRIC_CENTER,"('Railway St, Emu Plains NSW 2750, Australia', 150.671627, -33.741705, 'GEOMETRIC_CENTER')"
"Essex Street, The Rocks",Essex Street,"Essex St, The Rocks NSW 2000, Australia",151.207023,-33.8620482,GEOMETRIC_CENTER,"('Essex St, The Rocks NSW 2000, Australia', 151.207023, -33.8620482, 'GEOMETRIC_CENTER')"
Eveleigh Railway Locomotive Shops,Eveleigh Railway Locomotive Shops,"Bay, 1/2 Locomotive St, Eveleigh NSW 2015, Australia",151.1962968,-33.8947311,Great - Google,"('Bay, 1/2 Locomotive St, Eveleigh NSW 2015, Australia', 151.1962968, -33.8947311, 'Great - Google')"
Excelsior Reserve,Excelsior Reserve,"Bidjigal Reserve, Baulkham Hills NSW 2153, Australia",151.0095358,-33.7627374,GEOMETRIC_CENTER,"('Bidjigal Reserve, Baulkham Hills NSW 2153, Australia', 151.0095358, -33.7627374, 'GEOMETRIC_CENTER')"
"Excelsior Reserve, Northmead",Excelsior Reserve,"Bidjigal Reserve, Baulkham Hills NSW 2153, Australia",151.0095358,-33.7627374,GEOMETRIC_CENTER,"('Bidjigal Reserve, Baulkham Hills NSW 2153, Australia', 151.0095358, -33.7627374, 'GEOMETRIC_CENTER')"
"F.L. Barker Wool Store, Pyrmont",F.L. Barker Wool Store,"Florida, USA",-81.5157535,27.6648274,APPROXIMATE,"('Florida, USA', -81.5157535, 27.6648274, 'APPROXIMATE')"
"Fig Tree Free Baths, Andrew 'Boy' Charlton Pool, Sydney",Fig Tree Free Baths,"1c Mrs Macquaries Rd, Sydney NSW 2000, Australia",151.2217476,-33.8634677,Great - Google,"('1c Mrs Macquaries Rd, Sydney NSW 2000, Australia', 151.2217476, -33.8634677, 'Great - Google')"
"Finch's Line, The Old Great North Road, Wiseman's Ferry",Finch's Line,"Finches Line Trail Head, Finches Line Walking Track, Lower MacDonald NSW 2775, Australia",150.9977576,-33.3925106,GEOMETRIC_CENTER,"('Finches Line Trail Head, Finches Line Walking Track, Lower MacDonald NSW 2775, Australia', 150.9977576, -33.3925106, 'GEOMETRIC_CENTER')"
"First Field Hospital Site, Holsworthy",First Field Hospital Site,"Holsworthy NSW 2173, Australia",150.9498811,-33.9565362,APPROXIMATE,"('Holsworthy NSW 2173, Australia', 150.9498811, -33.9565362, 'APPROXIMATE')"
"Former No. 110 Substation, Powell Street, Waterloo",Former No. 110 Substation,"Powell St, Waterloo NSW 2017, Australia",151.2070386,-33.9019951,GEOMETRIC_CENTER,"('Powell St, Waterloo NSW 2017, Australia', 151.2070386, -33.9019951, 'GEOMETRIC_CENTER')"
"Free Baths for Ladies, Archaeology of Bathing, sydney",Free Baths for Ladies,"Sydney NSW 2000, Australia",151.2205299,-33.8652038,GEOMETRIC_CENTER,"('Sydney NSW 2000, Australia', 151.2205299, -33.8652038, 'GEOMETRIC_CENTER')"
"Garvan Institute of Medical Research, Darlinghurst",Garvan Institute of Medical Research,"384 Victoria St, Darlinghurst NSW 2010, Australia",151.2214505,-33.8791267,Great - Google,"('384 Victoria St, Darlinghurst NSW 2010, Australia', 151.2214505, -33.8791267, 'Great - Google')"
"General Bourke Hotel, Parramatta",General Bourke Hotel,"74 Church St, Parramatta NSW 2150, Australia",151.0041763,-33.820391,Great - Google,"('74 Church St, Parramatta NSW 2150, Australia', 151.0041763, -33.820391, 'Great - Google')"
"George Street North, The Rocks",George Street North,"George St, The Rocks NSW 2000, Australia",151.2086337,-33.8602602,GEOMETRIC_CENTER,"('George St, The Rocks NSW 2000, Australia', 151.2086337, -33.8602602, 'GEOMETRIC_CENTER')"
"Glenwood Park, Parklea",Glenwood Park,"Glenwood Park Dr, Glenwood NSW 2768, Australia",150.9379262,-33.733598,GEOMETRIC_CENTER,"('Glenwood Park Dr, Glenwood NSW 2768, Australia', 150.9379262, -33.733598, 'GEOMETRIC_CENTER')"
"Gloucester Street, The Rocks",Gloucester Street,"Gloucester St, The Rocks NSW 2000, Australia",151.2066442,-33.8615623,GEOMETRIC_CENTER,"('Gloucester St, The Rocks NSW 2000, Australia', 151.2066442, -33.8615623, 'GEOMETRIC_CENTER')"
"Goodlet and Smith Ltd. Brickworks, Granville",Goodlet and Smith Ltd. Brickworks,"Brickworks Dr, Granville NSW 2142, Australia",150.9963682,-33.8315567,GEOMETRIC_CENTER,"('Brickworks Dr, Granville NSW 2142, Australia', 150.9963682, -33.8315567, 'GEOMETRIC_CENTER')"
"Governor's Bath House, Farm Cove, Royal Botanic Gardens, Sydney",Governor's Bath House,"Royal Botanic Gardens, Mrs Macquaries Rd, Sydney NSW 2000, Australia",151.2165708,-33.8641859,GEOMETRIC_CENTER,"('Royal Botanic Gardens, Mrs Macquaries Rd, Sydney NSW 2000, Australia', 151.2165708, -33.8641859, 'GEOMETRIC_CENTER')"
"H.M.A.S. Kuttabul, Potts Point",H.M.A.S. Kuttabul,"18 Wylde St, Potts Point NSW 2011, Australia",151.2255114,-33.8669344,Great - Google,"('18 Wylde St, Potts Point NSW 2011, Australia', 151.2255114, -33.8669344, 'Great - Google')"
"Hickson Road, The Rocks",Hickson Road,"Hickson Rd, The Rocks NSW 2000, Australia",151.2072913,-33.855636,GEOMETRIC_CENTER,"('Hickson Rd, The Rocks NSW 2000, Australia', 151.2072913, -33.855636, 'GEOMETRIC_CENTER')"
"Hill Street, Surry Hills",Hill Street,"Hill St, Surry Hills NSW 2010, Australia",151.2166143,-33.8831376,GEOMETRIC_CENTER,"('Hill St, Surry Hills NSW 2010, Australia', 151.2166143, -33.8831376, 'GEOMETRIC_CENTER')"
"Holtermann Estate, Crows Nest",Holtermann Estate,"Holtermann St, Crows Nest NSW 2065, Australia",151.2036602,-33.8251272,GEOMETRIC_CENTER,"('Holtermann St, Crows Nest NSW 2065, Australia', 151.2036602, -33.8251272, 'GEOMETRIC_CENTER')"
